palette_code,ligne_label,article,cheffe_ligne_matricule,entry_time,source_file
PAL-EVUBH4F6,Manuel,Thon Entier à l'Huile,3002,2026-02-25 17:51:52,production-day-2026-02-25.xlsx
PAL-UURBDG04,Manuel,Thon Entier au Naturel,3002,2026-02-25 17:11:45,production-day-2026-02-25.xlsx
PAL-9KILO4KU,400,Thon Emietté à l'Huile,3002,2026-02-25 17:29:05,production-day-2026-02-25.xlsx
PAL-ZJJIKQMB,5/2 [1],Thon Emietté à l'Huile,3001,2026-02-25 10:46:14,production-day-2026-02-25.xlsx
PAL-NA5PBWKT,Manuel,Thon Emietté à la Tomate,3001,2026-02-25 17:55:56,production-day-2026-02-25.xlsx
PAL-KA0XEMDO,5/2 [2],Thon en Morceaux au Naturel,3003,2026-02-25 17:49:36,production-day-2026-02-25.xlsx
PAL-P8IDFTDR,5/2 [2],Thon Emietté à la Tomate,3003,2026-02-25 15:50:21,production-day-2026-02-25.xlsx
PAL-KS72F0ZO,1/5,Thon Entier au Naturel,3003,2026-02-25 12:09:11,production-day-2026-02-25.xlsx
PAL-QA8A588R,5/2 [1],Thon Emietté à la Tomate,3001,2026-02-25 15:31:04,production-day-2026-02-25.xlsx
PAL-GYOZQFWT,5/2 [1],Thon Entier au Naturel,3001,2026-02-25 15:17:29,production-day-2026-02-25.xlsx
PAL-FYYYY7NV,400,Thon Entier à l'Huile,3003,2026-02-25 13:40:43,production-day-2026-02-25.xlsx
PAL-P4ULAGYW,5/2 [2],Thon Emietté à la Tomate,3002,2026-02-25 19:23:50,production-day-2026-02-25.xlsx
PAL-HA03UCWM,1/5,Thon en Morceaux à l'Huile,3003,2026-02-25 13:03:00,production-day-2026-02-25.xlsx
PAL-RKSWQ46N,1/5,Thon Entier à l'Huile,3003,2026-02-25 15:08:37,production-day-2026-02-25.xlsx
PAL-CRH352CC,5/2 [2],Thon Entier à l'Huile,3001,2026-02-25 12:35:54,production-day-2026-02-25.xlsx
