parage_ref,numero_palette,longe_type,weight_kg,position_zone,position_number,entry_time,exit_time,status,operator_matricule,chef_tapis_1,chef_tapis_2,chef_tapis_3,chef_tapis_4,source_file
PRG-302,1,Longe précuit,391.16,F,35,2026-03-04 07:38:02,2026-03-04 13:13:26,SENT_TO_LIGNE,1001,2002,2002,2002,2002,production-day-2026-03-04.xlsx
PRG-826,2,Longe précuit,287.97,C,18,2026-03-04 06:02:36,2026-03-04 13:38:08,SENT_TO_LIGNE,1002,2002,2003,2005,2002,production-day-2026-03-04.xlsx
PRG-804,3,CB Simple parage,208.62,H,34,2026-03-04 07:09:18,2026-03-04 11:55:30,SENT_TO_LIGNE,1002,2005,2005,2002,2003,production-day-2026-03-04.xlsx
PRG-416,4,CB Simple parage,424.15,F,32,2026-03-04 09:17:16,2026-03-04 12:32:56,SENT_TO_LIGNE,1003,2005,2002,2003,2002,production-day-2026-03-04.xlsx
PRG-619,5,Morcelé,397.79,B,26,2026-03-04 08:18:25,2026-03-04 17:33:54,SENT_TO_LIGNE,1003,2003,2003,2003,2001,production-day-2026-03-04.xlsx
PRG-830,6,CT simple parage,423.08,F,17,2026-03-04 06:25:29,2026-03-04 15:57:37,SENT_TO_LIGNE,1003,2005,2005,2001,2001,production-day-2026-03-04.xlsx
PRG-665,7,CB Simple parage,385.21,G,36,2026-03-04 06:17:35,2026-03-04 09:35:16,SENT_TO_LIGNE,1002,2005,2005,2005,2003,production-day-2026-03-04.xlsx
PRG-913,8,Morcelé,338.27,D,19,2026-03-04 08:35:07,2026-03-04 18:21:38,SENT_TO_LIGNE,1002,2003,2001,2005,2004,production-day-2026-03-04.xlsx
PRG-126,9,CB Simple parage,290.53,B,29,2026-03-04 09:05:52,2026-03-04 17:26:52,SENT_TO_LIGNE,1001,2003,2002,2001,2005,production-day-2026-03-04.xlsx
PRG-143,10,Morcelé,223.54,D,31,2026-03-04 06:33:39,2026-03-04 09:50:28,SENT_TO_LIGNE,1003,2005,2004,2004,2004,production-day-2026-03-04.xlsx
