date,palettes_entrees,tonnage_total_kg,tonnage_moyen_palette,attente_moyenne_h,attente_max_h,nb_alertes_8h,type_cb_simple_parage,type_cb_double_parage,type_ct_simple_parage,type_longe_precuit,type_miette,type_morcele,stock_fin_jour,palettes_alimentees_ligne,ligne_5_21,ligne_5_22,ligne_400,ligne_1_5,ligne_manuel,nb_articles_differents,nb_cycles_autoclave,duree_moyenne_cycle,duree_max_cycle,nb_autoclaves_utilises,boites_emballees,nb_lots_emballage,jour_semaine,est_lundi,est_vendredi,target_palettes_demain,target_tonnage_demain,target_cycles_demain,target_boites_demain,target_alertes_demain
2025-11-17,40,12733.72,318.34299999999996,5.822847222222222,9.958055555555555,11,14,4,8,4,4,6,0,40,19,6,5,6,4,6,5,64.6,87,4,11984,5,0,1,0,15.0,4614.56,4.0,8725.0,1.0
2025-11-18,15,4614.56,307.63733333333334,5.594759259259259,9.776111111111112,5,4,3,2,3,2,1,0,15,3,8,1,3,0,6,4,68.75,83,3,8725,4,1,0,0,28.0,8926.33,5.0,9858.0,1.0
2025-11-19,28,8926.33,318.7975,6.068849206349205,9.867222222222223,9,14,6,1,2,2,3,0,28,7,10,1,9,1,6,5,65.8,94,4,9858,5,2,0,0,18.0,5089.55,7.0,14918.0,1.0
2025-11-20,18,5089.55,282.7527777777778,6.399953703703705,9.785,7,9,3,2,1,0,3,0,18,7,5,1,4,1,6,7,76.42857142857143,91,5,14918,7,3,0,0,24.0,7135.289999999999,4.0,8219.0,1.0
2025-11-21,24,7135.289999999999,297.30375,5.737604166666666,9.613611111111112,4,9,6,2,2,2,3,0,24,9,4,4,5,2,6,4,71.0,78,3,8219,4,4,0,1,23.0,7130.27,3.0,6736.0,1.0
2025-11-24,23,7130.27,310.0117391304348,5.413429951690823,9.994166666666667,4,8,1,2,6,3,3,0,23,6,6,5,3,3,5,3,62.0,70,3,6736,3,0,1,0,27.0,8061.020000000001,5.0,12716.0,1.0
2025-11-25,27,8061.020000000001,298.55629629629635,5.388600823045266,8.587222222222222,3,13,4,1,4,4,1,0,27,6,8,3,8,2,6,5,76.6,86,4,12716,5,1,0,0,39.0,12736.1,4.0,8326.0,1.0
2025-11-26,39,12736.1,326.56666666666666,5.781132478632478,9.386388888888888,9,15,6,7,4,5,2,0,39,12,14,5,7,1,6,4,76.5,86,3,8326,4,2,0,0,26.0,8088.21,6.0,13551.0,1.0
2025-11-27,26,8088.21,311.085,6.179775641025641,9.91611111111111,7,7,0,5,4,6,4,0,26,8,8,5,4,1,6,6,72.66666666666667,84,4,13551,6,3,0,0,23.0,7725.73,3.0,6383.0,1.0
2025-11-28,23,7725.73,335.90130434782606,6.586702898550723,9.944166666666666,6,10,4,2,2,4,1,0,23,2,11,3,5,2,6,3,70.33333333333333,88,2,6383,3,4,0,1,22.0,6751.370000000001,7.0,13410.0,1.0
2025-12-01,22,6751.370000000001,306.8804545454546,6.050580808080809,9.895833333333334,6,8,5,3,5,1,0,0,22,6,8,3,3,2,6,7,72.14285714285714,92,5,13410,7,0,1,0,16.0,5352.280000000001,3.0,6615.0,1.0
2025-12-02,16,5352.280000000001,334.51750000000004,5.890295138888889,9.665277777777778,4,8,1,1,2,3,1,0,16,5,6,1,4,0,5,3,71.33333333333333,78,3,6615,3,1,0,0,35.0,11439.900000000003,3.0,5218.0,1.0
2025-12-03,35,11439.900000000003,326.8542857142858,6.182238095238095,9.905277777777778,11,13,6,4,4,4,4,0,35,10,12,4,6,3,6,3,83.0,91,3,5218,3,2,0,0,24.0,7548.469999999999,3.0,7518.0,1.0
2025-12-04,24,7548.469999999999,314.5195833333333,5.631192129629629,9.8475,6,6,3,3,3,2,7,0,24,4,7,6,3,4,6,3,74.66666666666667,89,2,7518,3,3,0,0,16.0,5025.23,5.0,8386.0,1.0
2025-12-05,16,5025.23,314.076875,6.393923611111111,9.801388888888889,3,7,2,1,1,1,4,0,16,1,5,5,3,2,5,5,67.8,81,2,8386,5,4,0,1,24.0,8015.030000000001,7.0,13815.0,1.0
2025-12-08,24,8015.030000000001,333.95958333333334,5.9253125,9.711944444444445,7,7,4,3,3,6,1,0,24,7,8,5,2,2,6,7,71.28571428571429,90,4,13815,7,0,1,0,30.0,9826.39,5.0,9008.0,1.0
2025-12-09,30,9826.39,327.54633333333334,6.269564814814815,9.4725,8,13,1,3,3,4,6,0,30,3,14,4,5,4,5,5,68.4,84,3,9008,5,1,0,0,23.0,7548.43,3.0,8385.0,1.0
2025-12-10,23,7548.43,328.1926086956522,6.604287439613526,9.47,10,5,2,2,7,3,4,0,23,9,8,2,3,1,6,3,83.66666666666667,92,2,8385,3,2,0,0,17.0,5822.58,5.0,7349.0,1.0
2025-12-11,17,5822.58,342.50470588235294,6.017941176470589,9.921111111111111,5,4,3,1,4,2,3,0,17,1,8,1,4,3,6,5,66.4,78,3,7349,5,3,0,0,20.0,6540.4,4.0,7704.0,1.0
2025-12-12,20,6540.4,327.02,6.107972222222221,9.990833333333333,5,8,4,3,0,3,2,0,20,7,7,2,1,3,5,4,77.5,84,3,7704,4,4,0,1,16.0,5302.12,6.0,12321.0,1.0
2025-12-15,16,5302.12,331.3825,5.652291666666667,9.706666666666667,3,8,3,1,1,1,2,0,16,8,5,0,2,1,4,6,76.16666666666667,93,4,12321,6,0,1,0,30.0,9155.13,3.0,4387.0,1.0
2025-12-16,30,9155.13,305.171,6.308203703703706,9.850555555555555,10,11,5,2,3,1,8,0,30,9,11,3,3,4,6,3,67.0,90,2,4387,3,1,0,0,19.0,6038.27,5.0,9258.0,1.0
